"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",98.23736,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",98.26485,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",98.34156,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",98.45317,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",98.58534,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.74609,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.95546,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",99.2326,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.54829,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.87241,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",100.1661,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.3907,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.5009,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.4818,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",100.3837,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",100.2649,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",100.1652,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",100.0811,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",100.0893,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",100.2409,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.5907,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.1547,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",101.7767,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",102.2818,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",102.5571,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",102.5401,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-02",102.2946,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-03",101.9416,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-04",101.562,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-05",101.2195,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-06",100.9431,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-07",100.7418,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-08",100.6127,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-09",100.5288,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-10",100.4631,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-11",100.4226,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-12",100.4237,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-01",100.4507,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-02",100.468,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-03",100.4083,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-04",100.2252,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-05",99.92421,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-06",99.509,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-07",98.99277,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-08",98.45226,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-09",98.0092,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-10",97.72511,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-11",97.6126,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-12",97.61656,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-01",97.68866,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-02",97.80605,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-03",97.96452,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-04",98.16046,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-05",98.34135,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-06",98.48462,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-07",98.6404,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-08",98.82916,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-09",99.02277,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-10",99.21594,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-11",99.38911,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-12",99.53849,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-01",99.6835,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-02",99.86057,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-03",100.0763,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-04",100.3081,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-05",100.5267,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-06",100.7301,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-07",100.9569,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-08",101.1901,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-09",101.4032,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-10",101.5619,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-11",101.6331,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-12",101.6303,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-01",101.5667,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-02",101.4654,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-03",101.3716,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-04",101.3275,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-05",101.3328,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-06",101.3856,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-07",101.4361,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-08",101.4428,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-09",101.3632,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-10",101.1618,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-11",100.8601,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-12",100.5069,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-01",100.1745,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-02",99.8834,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-03",99.6104,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-04",99.35635,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-05",99.17039,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-06",99.07593,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-07",99.06246,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-08",99.13023,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-09",99.27672,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-10",99.48846,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-11",99.73867,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-12",100.0047,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-01",100.2494,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-02",100.4349,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-03",100.5158,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-04",100.4281,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-05",100.111,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-06",99.56629,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-07",98.84847,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-08",98.06293,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-09",97.38544,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-10",96.9199,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-11",96.72469,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-12",96.79652,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-01",97.08251,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-02",97.48181,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-03",97.9629,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-04",98.50473,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-05",99.05373,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-06",99.55232,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-07",99.96089,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-08",100.2869,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-09",100.5295,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-10",100.6713,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-11",100.707,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-12",100.6476,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-01",100.5359,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-02",100.3865,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-03",100.2093,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-04",100.0552,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-05",100.0031,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-06",100.0469,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-07",100.2008,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-08",100.4083,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-09",100.5822,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-10",100.6705,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-11",100.6306,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-12",100.4578,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-01",100.1929,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-02",99.90405,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-03",99.6261,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-04",99.3613,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-05",99.07256,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-06",98.77977,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-07",98.50589,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-08",98.26453,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-09",98.04188,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-10",97.86107,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-11",97.76405,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-12",97.80151,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-01",97.94125,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-02",98.11827,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-03",98.27003,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-04",98.35651,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-05",98.36694,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-06",98.3295,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-07",98.25308,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-08",98.16158,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-09",98.09477,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-10",98.05688,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-11",98.05943,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-12",98.11694,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-01",98.22982,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-02",98.42204,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-03",98.71796,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-04",99.12682,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-05",99.61718,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-06",100.1761,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-07",100.7941,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-08",101.4182,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-09",102.0216,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-10",102.5755,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-11",103.0641,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-12",103.4766,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-01",103.7891,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-02",104.0357,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-03",104.2464,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-04",104.3881,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-05",104.3982,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-06",104.257,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-07",104.0337,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-08",103.8062,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-09",103.6108,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-10",103.4696,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-11",103.3509,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-12",103.2261,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-01",103.0801,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-02",102.935,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-03",102.8011,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-04",102.6683,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-05",102.5119,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-06",102.2989,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-07",101.9869,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-08",101.5503,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-09",100.986,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-10",100.3408,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-11",99.62406,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-12",98.87914,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-01",98.20949,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-02",97.71089,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-03",97.34371,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-04",97.06152,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-05",96.82506,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-06",96.56576,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-07",96.23811,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-08",95.87962,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-09",95.54966,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-10",95.28542,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-11",95.16872,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-12",95.27778,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-01",95.63226,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-02",96.02178,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-03",96.45341,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-04",96.87996,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-05",97.2838,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-06",97.63747,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-07",97.92795,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-08",98.18679,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-09",98.46987,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-10",98.73787,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-11",99.03968,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-12",99.38777,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-01",99.7545,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-02",100.0828,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-03",100.3364,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-04",100.4711,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-05",100.4487,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-06",100.2821,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-07",100.0286,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-08",99.72253,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-09",99.42,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-10",99.21295,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-11",99.1293,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-12",99.1432,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-01",99.25649,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-02",99.48685,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-03",99.78898,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-04",100.1563,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-05",100.5667,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-06",100.987,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-07",101.4109,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-08",101.7805,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-09",102.0805,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-10",102.2731,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-11",102.3313,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-12",102.2766,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-01",102.1486,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-02",101.9752,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-03",101.8036,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-04",101.6658,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-05",101.5931,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-06",101.6022,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-07",101.6385,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-08",101.6558,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-09",101.6136,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-10",101.4933,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-11",101.3508,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-12",101.2573,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-01",101.2558,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-02",101.334,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-03",101.4406,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-04",101.4647,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-05",101.309,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-06",100.9684,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-07",100.564,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-08",100.2038,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-09",99.92639,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-10",99.69855,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-11",99.45806,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-12",99.20033,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-01",98.93202,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-02",98.64977,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-03",98.34035,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-04",98.01051,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-05",97.73299,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-06",97.52323,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-07",97.38123,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-08",97.3212,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-09",97.38077,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-10",97.52395,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-11",97.76677,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-12",98.08959,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-01",98.44801,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-02",98.80729,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-03",99.13706,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-04",99.37195,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-05",99.46272,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-06",99.41464,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-07",99.27563,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-08",99.08241,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-09",98.9009,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-10",98.74734,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-11",98.62438,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-12",98.53146,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-01",98.49419,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-02",98.54149,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-03",98.62919,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-04",98.71264,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-05",98.80444,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-06",98.9324,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-07",99.1042,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-08",99.30377,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-09",99.51414,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-10",99.72868,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-11",99.91013,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-12",100.0757,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-01",100.2438,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-02",100.4104,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-03",100.585,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-04",100.7522,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-05",100.8996,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-06",101.0249,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-07",101.1081,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-08",101.135,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-09",101.1104,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-10",101.0923,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-11",101.0654,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-12",101.0306,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-01",100.9884,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-02",100.9248,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-03",100.8244,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-04",100.7042,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-05",100.5413,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-06",100.3547,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-07",100.1746,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-08",100.0525,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-09",99.97739,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-10",99.92056,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-11",99.88019,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-12",99.8353,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-01",99.7771,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-02",99.69971,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-03",99.62983,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-04",99.57024,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-05",99.52125,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-06",99.49454,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-07",99.48956,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-08",99.51006,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-09",99.53872,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-10",99.56796,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-11",99.57946,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-12",99.56586,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-01",99.52409,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-02",99.49364,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-03",99.49284,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-04",99.522,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-05",99.54161,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-06",99.55376,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-07",99.55894,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-08",99.57352,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-09",99.61846,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-10",99.71757,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-11",99.88126,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-12",100.1128,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-01",100.4239,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-02",100.7914,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-03",101.1721,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-04",101.5505,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-05",101.8975,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-06",102.1574,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-07",102.2941,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-08",102.3216,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-09",102.2627,
